SKU	StockLevel
3328717700638	0
3328717700932	0
33385161024	0
33385161026	0
33385161027	0
33385161028	0
33385161029	0
33385161030	0
33385161031	0
33385161032	0
33385161034	0
3338516700924	0
3338516700926	0
3338516700927	0
3338516700928	0
3338516700929	0
3338516700930	0
3338516700931	0
3338516700932	0
3338516700934	0
3502612103XL	0
350261210L	0
350261210M	0
350261210S	0
350261210XXL	0
35026121253XL	0
3502612125M	0
3502612125XL	0
3502612125XXL	0
351731610L	0
351731610M	0
351731610S	0
351731610XL	0
35173161239L	0
35173161239M	0
35173161239S	0
35173161239XL	0
351771710L	23
351771710M	8
351771710S	1
351771710XS	0
35177171239L	38
35177171239M	15
35177171239S	20
35177171239XS	1
351771712L	0
351771712M	0
351771712S	0
351771712XS	0
3518313123XL	0
3518317111L	0
3518317111M	0
3518317111S	0
3518317111XL	0
3518317111XS	0
35183171239L	0
35183171239M	0
35183171239S	0
35183171239XL	0
35183171239XS	0
351831712L	0
351831712S	0
351831712XL	0
351831712XS	0
35189161039L	0
35189161039M	0
35189161039S	0
35189161039XL	0
35189161039XS	0
351891610L	0
351891610M	0
351891610S	0
351891610XL	0
351891610XS	0
352001610L	0
3522016102XL	0
352201610M	0
352201610XL	0
3524516102XL	27
3524516103XL	28
352451610L	45
352451610M	17
352451610S	6
352451610XL	47
3525016102XL	0
3525016103XL	0
352501610L	0
352501610M	0
352501610S	0
352511610L	0
352561610L	0
3525714103XL	0
352571410L	0
352571410M	0
352571410S	0
352571410XL	0
352571410XXL	0
3525816102XL	0
3525816103XL	0
352581610L	0
352581610M	0
352581610S	0
352581610XL	0
3526016102XL	0
3526016103XL	0
352601610L	0
352601610M	0
352601610S	0
352601610XL	0
3526416102XL	0
3526416103XL	0
352641610L	0
352641610S	1
352641610XL	0
3526817123L	0
3526817123S	0
3527016102XL	0
3527016103XL	0
352701610L	0
352701610M	0
352701610S	0
352701610XL	0
3527115102XL	0
352711510L	0
352711510M	0
352711510S	0
352711510XL	0
352791710XXXL	0
3527917123L	0
3527917123M	0
3527917123S	0
3527917123XL	0
3527917123XXL	0
3527917123XXXL	0
3527917125XXL	0
3528715102XL	0
352871510L	0
352871510M	1
352871510S	0
352871510XL	0
352911710M	0
352911710S	0
352911710XXXL	0
3529117951L	0
3529117951M	0
3529117951S	0
3529117951XL	0
3529117951XXL	0
3529117951XXXL	0
353451610L	0
353451610M	0
353451610S	0
353451610XL	0
353451610XS	0
353601610L	1
353601610M	0
353601610S	0
353601610XL	1
353601610XS	0
353641710XL	0
353641710XS	0
355651710S	0
355651710XL	0
355651710XXL	0
3556517123M	0
3556517123S	0
3556517123XXL	0
35565171240L	0
35565171240M	0
35565171240S	0
3556517125M	0
3556517125S	0
3556517125XL	0
355651712M	0
355651712S	0
355651712XXL	0
355651712XXXL	0
3556517233XL	0
3556717123M	0
3558016102XL	0
3558016103XL	0
355801610L	0
355801610M	0
355801610S	0
355801610XL	0
3558016122XL	0
3558016123XL	0
355801612L	0
355801612M	0
355801612S	0
355801612XL	0
355811510M	0
35581151232XL	0
3558115123M	0
3558115123XL	0
35583171113XL	0
3558317111L	0
3558317111M	0
3558317111S	0
3558317111XL	0
3558317111XXL	0
35583171233XL	0
3558317123L	0
3558317123M	0
3558317123S	0
3558317123XL	0
3558317123XXL	0
35583171253XL	0
3558317125L	0
3558317125M	0
3558317125S	0
3558317125XL	0
3558317125XXL	0
355831712M	0
355831712S	0
3558517103XL	11
355851710L	100
355851710M	100
355851710S	13
355851710XL	100
355851710XXL	82
35585171233XL	9
3558517123L	82
3558517123M	54
3558517123S	1
3558517123XL	66
3558517123XXL	14
355851715033XL	0
35585171503L	0
35585171503M	0
35585171503S	0
35585171503XL	0
35585171503XXL	1
3566101000S	0
3566617103XL	0
356661710L	0
356661710M	0
356661710S	0
356661710XL	0
356661710XXL	0
356661718133XL	0
35666171813L	0
35666171813M	0
